VERB          : SYNONYMS                               : SYNTAX
about         : (+ help, info)                         : about
again         : (+ g)                                  : again
answer        : (+ reply)                              : answer (topic)
ask           : (+ enquire, inquire, interrogate)      : ask (act) about (topic)
ask_for       :                                        : ask (act) for (obj)
attack        : (+ beat, fight, hit, punch)            : attack (target)
attack_with   :                                        : attack (target) with (weapon)
bite          : (+ chew)                               : bite (obj)
break         : (+ destroy)                            : break (obj)
break_with    :                                        : break (obj) with (instr)
brief         :                                        : brief
burn          :                                        : burn (obj)
burn_with     :                                        : burn (obj) with (instr)
buy           : (+ purchase)                           : buy (item)
catch         :                                        : catch (obj)
clean         : (+ polish, wipe)                       : clean (obj)
climb         :                                        : climb (obj)
climb_on      :                                        : climb on (surface)
climb_through :                                        : climb through (obj)
close         : (+ shut)                               : close (obj)
close_with    :                                        : close (obj) with (instr)
consult       :                                        : consult (source) about (topic)
credits       : (+ acknowledgments, author, copyright) : credits
cut           :                                        : cut (obj)
cut_with      :                                        : cut (obj) with (instr)
dance         :                                        : dance
dig           :                                        : dig (obj)
dive          :                                        : dive
dive_in       :                                        : dive in (liq)
drink         :                                        : drink (liq)
drive         :                                        : drive (vehicle)
drop          : (+ discard, dump, reject)              : drop (obj)
eat           :                                        : eat (food)
empty         :                                        : empty (obj)
empty_in      :                                        : empty (obj) in (cont)
empty_on      :                                        : empty (obj) on (surface)
enter         :                                        : enter (obj)
examine       : (+ check, inspect, observe, x)         : examine (obj)
exit          :                                        : exit (obj)
extinguish    : (+ put out, quench)                    : extinguish (obj)
fill          :                                        : fill (cont)
fill_with     :                                        : fill (cont) with (substance)
find          : (+ locate)                             : find (obj)
fire          :                                        : fire (weapon)
fire_at       :                                        : fire (weapon) at (target)
fix           : (+ mend, repair)                       : fix (obj)
follow        :                                        : follow (act)
free          : (+ release)                            : free (obj)
get_up        :                                        : get up
get_off       :                                        : get off (obj)
give          :                                        : give (obj) to (recipient)
go_to         :                                        : go to (dest)
hint          : (+ hints)                              : hint
i             : (+ inv, inventory)                     : inventory
jump          :                                        : jump
jump_in       :                                        : jump in (cont)
jump_on       :                                        : jump on (surface)
kick          :                                        : kick (target)
kill          : (+ murder)                             : kill (victim)
kill_with     :                                        : kill (victim) with (weapon)
kiss          : (+ hug, embrace)                       : kiss (obj)
knock         : (on)                                   : knock on (obj)
lie_down      :                                        : lie down
lie_in        :                                        : lie in (cont)
lie_on        :                                        : lie on (surface)
lift          :                                        : lift (obj)
light         : (+ lit)                                : light (obj)
listen0       :                                        : listen
listen        :                                        : listen to (obj)
